venue_id,venue_name,venue_city,venue_state,venue_country,surface,roof_type
24c71dbf-6469-46f1-8165-22005c295c8f,Levi's Stadium,Santa Clara,CA,USA,turf,outdoor
e43310b1-cb82-4df9-8be5-e9b39637031b,Gillette Stadium,Foxborough,MA,USA,artificial,outdoor
6589e61d-ef1e-4e30-91b5-9acd2072b8a0,Empower Field at Mile High,Denver,CO,USA,turf,outdoor
6e3bcf22-277d-4c06-b019-62aded51654f,Ford Field,Detroit,MI,USA,artificial,dome
790c1f04-73c6-4f6f-8b1e-78a62260be90,SoFi Stadium,Inglewood,CA,USA,artificial,outdoor
d7866605-5ac6-4b3a-90e8-760cc5a26b75,Soldier Field,Chicago,IL,USA,turf,outdoor
6ed18563-53e0-46c2-a91d-12d73a16456d,Lucas Oil Stadium,Indianapolis,IN,USA,artificial,retractable_dome
e9e0828e-37fc-4238-a317-49037577dd55,Highmark Stadium,Orchard Park,NY,USA,artificial,outdoor
c6b9e5df-c9e4-434c-b3e6-83928f11cbda,Lumen Field,Seattle,WA,USA,artificial,outdoor
39be9ed4-3292-49ac-8699-a381de3a4969,Bank of America Stadium,Charlotte,NC,USA,artificial,outdoor
012541b0-c1ab-11ec-b263-0924e20373c5,Allianz Arena,Munich,,DEU,turf,outdoor
5295c1b7-c85c-49cb-9569-1707c65324e5,Nissan Stadium,Nashville,TN,USA,turf,outdoor
4fa8c29c-6626-464c-8540-314ed7535e1b,Lincoln Financial Field,Philadelphia,PA,USA,turf,outdoor
50a5c833-1570-4c38-abc7-7914cf87dbde,Hard Rock Stadium,Miami Gardens,FL,USA,turf,outdoor
6a72e5ca-33d0-40af-8e6b-b32a4d3d9346,NRG Stadium,Houston,TX,USA,artificial,retractable_dome
ddaebc21-35aa-4f00-bef6-3f0bc7e76f70,Wembley Stadium,London,,GBR,turf,retractable_dome
90c38d91-3774-4f5d-82ca-1c806828219f,Huntington Bank Field,Cleveland,OH,USA,turf,outdoor
7349a2e6-0ac9-410b-8bd2-ca58c9f7aa34,Acrisure Stadium,Pittsburgh,PA,USA,turf,outdoor
f5ff00d4-1ed8-4918-bf73-13d66d510f98,U.S. Bank Stadium,Minneapolis,MN,USA,artificial,dome
f8e4d2ab-53f9-4e9f-8c4a-9bc278094a84,State Farm Stadium,Glendale,AZ,USA,turf,retractable_dome
4829986d-66a3-48da-8c82-aafe8b32ab19,Tottenham Hotspur Stadium,London,,GBR,artificial,outdoor
6fccc39c-80bc-4c81-83d9-2d5a848c8c09,Raymond James Stadium,Tampa,FL,USA,turf,outdoor
5d4c85c7-d84e-4e10-bd6a-8a15ebecca5c,MetLife Stadium,East Rutherford,NJ,USA,artificial,outdoor
1f2d393b-2291-4835-a412-0714966ea245,Mercedes-Benz Stadium,Atlanta,GA,USA,artificial,retractable_dome
3c85d89a-ec66-4983-acd5-1381d6c8673a,Caesars Superdome,New Orleans,LA,USA,artificial,dome
7c11bb2d-4a53-4842-b842-0f1c63ed78e9,Northwest Stadium,Landover,MD,USA,turf,outdoor
d54faae0-0314-484f-8604-9d8dd08e1149,M&T Bank Stadium,Baltimore,MD,USA,turf,outdoor
2ec4c411-dac2-403d-b091-6b6aa4a0a914,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,turf,outdoor
53d42601-5dfb-40a7-bd94-da2c1d3a75e4,Allegiant Stadium,Las Vegas,NV,USA,turf,dome
5a60dd3a-302c-41c6-ab0f-dd335c1103c2,Lambeau Field,Green Bay,WI,USA,turf,outdoor
4c5c036d-dd3d-4183-b595-71a43a97560f,EverBank Stadium,Jacksonville,FL,USA,turf,outdoor
1e84213a-ff1f-4c9d-a003-8ee782b25a40,AT&T Stadium,Arlington,TX,USA,artificial,retractable_dome
b87a1595-d3c8-48ea-8a53-0aab6378a64a,Paycor Stadium,Cincinnati,OH,USA,artificial,outdoor
c2f0d6c0-f772-11ee-a79f-5fe93d39f1bd,Corinthians Arena,Sao Paulo,,BRA,turf,outdoor
